Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,New
Case Départ,INSERT : E-RAPTOR : CLANK!,insert-e-raptor-clank,https://casedepart.be/images/ashx/insert-e-raptor-clank-1.jpeg?s_id=10021187&imgfield=s_image1&imgwidth=300&imgheight=300,31.00,15.50,https://casedepart.be/fr/produit=insert-e-raptor-clank&id=10021187,,,,,,,
Case Départ,INSERT : E-RAPTOR : PANDEMIC,insert-e-raptor-pandemic,https://casedepart.be/images/ashx/insert-e-raptor-pandemic-1.jpeg?s_id=10020813&imgfield=s_image1&imgwidth=300&imgheight=300,28.00,14.00,https://casedepart.be/fr/produit=insert-e-raptor-pandemic&id=10020813,,,,,,,
Case Départ,INSERT : E-RAPTOR : WONDERFULL WORLD,insert-e-raptor-wonderfull-world,https://casedepart.be/images/ashx/insert-e-raptor-wonderfull-world-1.jpeg?s_id=10020811&imgfield=s_image1&imgwidth=300&imgheight=300,44.00,22.00,https://casedepart.be/fr/produit=insert-e-raptor-wonderfull-world&id=10020811,,,,,,,
Case Départ,INVESTIGATION FILES : MEURTRE A PARIS,investigation-files-meurtre-a-paris,https://casedepart.be/images/ashx/investigation-files-meurtre-a-paris-1.jpeg?s_id=10023311&imgfield=s_image1&imgwidth=300&imgheight=300,22.00,11.00,https://casedepart.be/fr/produit=investigation-files-meurtre-a-paris&id=10023311,1,14,90,60,90,6,
Case Départ,IPAWN : JEU DE L'OIE,ipawn-jeu-de-l-oie,https://casedepart.be/images/ashx/ipawn-jeu-de-l-oie-1.jpeg?s_id=10004236&imgfield=s_image1&imgwidth=300&imgheight=300,12.00,3.00,https://casedepart.be/fr/produit=ipawn-jeu-de-l-oie&id=10004236,,,,,,,
Case Départ,ISHTAR,ishtar,https://casedepart.be/images/ashx/ishtar-1.jpeg?s_id=10017348&imgfield=s_image1&imgwidth=300&imgheight=300,40.00,25.00,https://casedepart.be/fr/produit=ishtar&id=10017348,,,,,,,
Case Départ,J'Y CROIS PAS : SUPPLEMENT SALADES,j-y-crois-pas-supplement-salades,https://casedepart.be/images/ashx/j-y-crois-pas-supplement-salades-1.jpeg?s_id=10023514&imgfield=s_image1&imgwidth=300&imgheight=300,9.00,4.50,https://casedepart.be/fr/produit=j-y-crois-pas-supplement-salades&id=10023514,4,8,45,20,45,8,
Case Départ,JIGZLE : MOUTON,jigzle-mouton,https://casedepart.be/images/ashx/jigzle-mouton-1.jpeg?s_id=10022543&imgfield=s_image1&imgwidth=300&imgheight=300,20.00,10.00,https://casedepart.be/fr/produit=jigzle-mouton&id=10022543,,,,,,,
Case Départ,JUMPING CUPS,jumping-cups,https://casedepart.be/images/ashx/jumping-cups-1.jpeg?s_id=10021212&imgfield=s_image1&imgwidth=300&imgheight=300,20.00,10.00,https://casedepart.be/fr/produit=jumping-cups&id=10021212,2,2,15,15,15,8,
Case Départ,KAKAPO,kakapo,https://casedepart.be/images/ashx/kakapo-1.jpeg?s_id=10025995&imgfield=s_image1&imgwidth=300&imgheight=300,13.00,6.50,https://casedepart.be/fr/produit=kakapo&id=10025995,,,,,,,
Case Départ,KAMICHA LE JARDIN DU THE : ECRAN DU MENEUR,kamicha-le-jardin-du-the-ecran-du-meneur,https://casedepart.be/images/ashx/kamicha-le-jardin-du-the-ecran-du-meneur-1.jpeg?s_id=10029554&imgfield=s_image1&imgwidth=300&imgheight=300,15.00,10.50,https://casedepart.be/fr/produit=kamicha-le-jardin-du-the-ecran-du-meneur&id=10029554,,,,,,,
Case Départ,KELTIA : AVALON,keltia-avalon,https://casedepart.be/images/ashx/keltia-avalon-1.jpeg?s_id=10007235&imgfield=s_image1&imgwidth=300&imgheight=300,22.50,6.75,https://casedepart.be/fr/produit=keltia-avalon&id=10007235,,,,,,,
Case Départ,KELTIA : LE KIT DU HEROS,keltia-le-kit-du-heros,https://casedepart.be/images/ashx/keltia-le-kit-du-heros-1.jpeg?s_id=10006593&imgfield=s_image1&imgwidth=300&imgheight=300,3.50,1.75,https://casedepart.be/fr/produit=keltia-le-kit-du-heros&id=10006593,,,,,,,
Case Départ,KILL TEAM: OPES APPROUVEES,kill-team-opes-approuvees,https://casedepart.be/images/ashx/kill-team-opes-approuvees-1.jpeg?s_id=10022457&imgfield=s_image1&imgwidth=300&imgheight=300,23.50,16.45,https://casedepart.be/fr/produit=kill-team-opes-approuvees&id=10022457,,,,,,,
Case Départ,KRAFTWAGEN : L’ÈRE DE L’INGÉNIERIE,kraftwagen-lere-de-lingenierie,https://casedepart.be/images/ashx/kraftwagen-l-ere-de-l-ingenierie-1.jpeg?s_id=10031382&imgfield=s_image1&imgwidth=300&imgheight=300,60.00,36.00,https://casedepart.be/fr/produit=kraftwagen-l-ere-de-l-ingenierie&id=10031382,2,4,90,75,90,13,
Case Départ,KRYSTAL : FONDATIONS,krystal-fondations,https://casedepart.be/images/ashx/krystal-fondations-1.jpeg?s_id=10011350&imgfield=s_image1&imgwidth=300&imgheight=300,28.00,14.00,https://casedepart.be/fr/produit=krystal-fondations&id=10011350,,,,,,,
Case Départ,L'AVENTURE FABULEUSE,l-aventure-fabuleuse,https://casedepart.be/images/ashx/l-aventure-fabuleuse-1.jpeg?s_id=10029074&imgfield=s_image1&imgwidth=300&imgheight=300,16.00,8.00,https://casedepart.be/fr/produit=l-aventure-fabuleuse&id=10029074,1,4,15,10,15,6,
Case Départ,L'ILE DES TRAINS,l-ile-des-trains,https://casedepart.be/images/ashx/l-ile-des-trains-1.jpeg?s_id=10028248&imgfield=s_image1&imgwidth=300&imgheight=300,30.00,15.00,https://casedepart.be/fr/produit=l-ile-des-trains&id=10028248,1,4,60,60,60,10,
Case Départ,L'INCAL INFINI,l-incal-infini,https://casedepart.be/images/ashx/l-incal-infini-1.jpeg?s_id=10029232&imgfield=s_image1&imgwidth=300&imgheight=300,30.00,15.00,https://casedepart.be/fr/produit=l-incal-infini&id=10029232,2,4,30,30,30,10,
Case Départ,L5A JCE : MEDITATIONS SUR L'EPHEMERE,l5a-jce-meditations-sur-l-ephemere,https://casedepart.be/images/ashx/l5a-jce-meditations-sur-l-ephemere-1.jpeg?s_id=10013925&imgfield=s_image1&imgwidth=300&imgheight=300,15.00,4.50,https://casedepart.be/fr/produit=l5a-jce-meditations-sur-l-ephemere&id=10013925,,,,,,,
Case Départ,L5A JCE : TRONE DU CHRYSANTHEME,l5a-jce-trone-du-chrysantheme,https://casedepart.be/images/ashx/l5a-jce-trone-du-chrysantheme-1.jpeg?s_id=10013844&imgfield=s_image1&imgwidth=300&imgheight=300,15.00,7.50,https://casedepart.be/fr/produit=l5a-jce-trone-du-chrysantheme&id=10013844,,,,,,,
Case Départ,LA CHUTE DU ROI DE LA MONTAGNE,la-chute-du-roi-de-la-montagne,https://casedepart.be/images/ashx/la-chute-du-roi-de-la-montagne-1.jpeg?s_id=10025921&imgfield=s_image1&imgwidth=300&imgheight=300,70.00,35.00,https://casedepart.be/fr/produit=la-chute-du-roi-de-la-montagne&id=10025921,1,5,90,60,90,13,
Case Départ,LA CLE DU ROYAUME,la-cle-du-royaume,https://casedepart.be/images/ashx/la-cle-du-royaume-1.jpeg?s_id=10032109&imgfield=s_image1&imgwidth=300&imgheight=300,50.00,30.00,https://casedepart.be/fr/produit=la-cle-du-royaume&id=10032109,2,5,90,20,90,7,
Case Départ,LA PORTE D'ISHTAR : BEAUTE DE MARBRE,la-porte-d-ishtar-beaute-de-marbre,https://casedepart.be/images/ashx/la-porte-d-ishtar-beaute-de-marbre-1.jpeg?s_id=10027985&imgfield=s_image1&imgwidth=300&imgheight=300,17.00,11.90,https://casedepart.be/fr/produit=la-porte-d-ishtar-beaute-de-marbre&id=10027985,,,,,,,
Case Départ,LA PORTE D'ISHTAR : ECRAN DU MENEUR,la-porte-d-ishtar-ecran-du-meneur,https://casedepart.be/images/ashx/la-porte-d-ishtar-ecran-du-meneur-1.jpeg?s_id=10027984&imgfield=s_image1&imgwidth=300&imgheight=300,26.50,18.55,https://casedepart.be/fr/produit=la-porte-d-ishtar-ecran-du-meneur&id=10027984,,,,,,,
Case Départ,LAELITH : GARDIENS SILENCIEUX (très abimé),laelith-gardiens-silencieux-tres-abime,https://casedepart.be/images/ashx/laelith-gardiens-silencieux-tres-abime-1.jpeg?s_id=10033930&imgfield=s_image1&imgwidth=300&imgheight=300,60.00,18.00,https://casedepart.be/fr/produit=laelith-gardiens-silencieux-tres-abime&id=10033930,,,,,,,
Case Départ,LE CONSEIL DES 12,le-conseil-des-12,https://casedepart.be/images/ashx/le-conseil-des-12-1.jpeg?s_id=10024637&imgfield=s_image1&imgwidth=300&imgheight=300,20.00,14.00,https://casedepart.be/fr/produit=le-conseil-des-12&id=10024637,2,4,30,20,30,10,
Case Départ,LE MONDE DE RETERRA,le-monde-de-reterra,https://casedepart.be/images/ashx/le-monde-de-reterra-1.jpeg?s_id=10029990&imgfield=s_image1&imgwidth=300&imgheight=300,40.00,24.00,https://casedepart.be/fr/produit=le-monde-de-reterra&id=10029990,2,4,35,35,35,10,
Case Départ,LE PROJET,le-projet,https://casedepart.be/images/ashx/le-projet-1.jpeg?s_id=10022144&imgfield=s_image1&imgwidth=300&imgheight=300,60.00,45.00,https://casedepart.be/fr/produit=le-projet&id=10022144,,,,,,,
Case Départ,LE TRESOR DES KOBOLDS,le-tresor-des-kobolds,https://casedepart.be/images/ashx/le-tresor-des-kobolds-1.jpeg?s_id=10031740&imgfield=s_image1&imgwidth=300&imgheight=300,25.00,12.50,https://casedepart.be/fr/produit=le-tresor-des-kobolds&id=10031740,,,,,,,
Case Départ,LEAGUES OF VOTANN : UTHAR LE DESTINE,leagues-of-votann-uthar-le-destine,https://casedepart.be/images/ashx/leagues-of-votann-uthar-le-destine-1.jpeg?s_id=10026051&imgfield=s_image1&imgwidth=300&imgheight=300,31.50,22.05,https://casedepart.be/fr/produit=leagues-of-votann-uthar-le-destine&id=10026051,,,,,,,
Case Départ,LEGIONES ASTARTES: MISSILE LAUNCHERS/HEAVY BOLTERS,legiones-astartes-missile-launchers-heavy-bolters,https://casedepart.be/images/ashx/legiones-astartes-missile-launchers-heavy-bolters-1.jpeg?s_id=10024892&imgfield=s_image1&imgwidth=300&imgheight=300,37.00,25.90,https://casedepart.be/fr/produit=legiones-astartes-missile-launchers-heavy-bolters&id=10024892,,,,,,,
