Site,ProductName,NormalizedName,Image,Old Price,New Price,URL,MinPlayers,MaxPlayers,PlayingTime,MinPlayTime,MaxPlayTime,Age,image_url,boardgame_url
UltraJeux,Stratégie Best-Seller - The Witcher - L'Ancien Monde,strategie-best-seller-the-witcher-l-ancien-monde,https://www.ultrajeux.com/images/produits/normal/24458.jpg,84.90,76.40,produit-24458-the-witcher-l-ancien-monde-3760146641594.html,,,,,,,,
UltraJeux,Stratégie Best-Seller - The Witcher - L'Ancien Monde - Extension : Legendary Hunt (FR),strategie-best-seller-the-witcher-l-ancien-monde-extension-legendary-hunt-fr,https://www.ultrajeux.com/images/produits/normal/29107.jpg,54.90,49.40,produit-29107-the-witcher-l-ancien-monde-extension-legendary-hunt-fr-3760372230753.html,,,,,,,,
UltraJeux,Stratégie Best-Seller - The Witcher - L'Ancien Monde - Extension : Mages (FR),strategie-best-seller-the-witcher-l-ancien-monde-extension-mages-fr,https://www.ultrajeux.com/images/produits/normal/29109.jpg,59.90,53.90,produit-29109-the-witcher-l-ancien-monde-extension-mages-fr-3760146642065.html,,,,,,,,
UltraJeux,Stratégie Best-Seller - The Witcher - L'Ancien Monde - Extension : Wild Hunt (FR),strategie-best-seller-the-witcher-l-ancien-monde-extension-wild-hunt-fr,https://www.ultrajeux.com/images/produits/normal/29111.jpg,49.90,44.90,produit-29111-the-witcher-l-ancien-monde-extension-wild-hunt-fr-3760372234089.html,,,,,,,,
UltraJeux,Stratégie Best-Seller - The Witcher - L'Ancien Monde - Extension : Monster Trails (FR),strategie-best-seller-the-witcher-l-ancien-monde-extension-monster-trails-fr,https://www.ultrajeux.com/images/produits/normal/29113.jpg,49.90,44.90,produit-29113-the-witcher-l-ancien-monde-extension-monster-trails-fr-3760372234072.html,,,,,,,,
UltraJeux,Stratégie Best-Seller - The Witcher - L'Ancien Monde - Extension : Adventure Pack (FR),strategie-best-seller-the-witcher-l-ancien-monde-extension-adventure-pack-fr,https://www.ultrajeux.com/images/produits/normal/29114.jpg,26.90,24.20,produit-29114-the-witcher-l-ancien-monde-extension-adventure-pack-fr-3760372234096.html,,,,,,,,
UltraJeux,Gestion Carcassonne - Carcassonne : Big Box 2021,-carcassonne-carcassonne-big-box-2021,https://www.ultrajeux.com/images/produits/normal/18545.jpg,63.90,57.50,produit-18545-carcassonne-big-box-2021-3558380096405.html,,,,,,,,
UltraJeux,Jeu de Plateau Réflexion - Evergreen - Arbres Géants et Champignons,evergreen-arbres-geants-et-champignons,https://www.ultrajeux.com/images/produits/normal/29046.jpg,15.50,13.90,produit-29046-evergreen-arbres-geants-et-champignons-8056324762256.html,,,,,,,,
UltraJeux,Aventure Coopération - Heredity - Extension : Souvenirs,heredity-extension-souvenirs,https://www.ultrajeux.com/images/produits/normal/29053.jpg,16.90,15.20,produit-29053-heredity-extension-souvenirs-3770031130010.html,,,,,,,,
UltraJeux,Gestion Best-Seller - Splendor - La route de la soie,splendor-la-route-de-la-soie,https://www.ultrajeux.com/images/produits/normal/28672.jpg,13.50,12.15,produit-28672-splendor-la-route-de-la-soie-3558380124481.html,2,4,30,30,30,10,https://cf.geekdo-images.com/6hpcFCXcGYqeoZEhHoUsXw__original/img/Q95JwDYpJFir-ZyH2QwtUI5bFdY=/0x0/filters:format(png)/pic8417466.png,https://boardgamegeek.com/boardgame/428581/
